Rank,Player Name,Age,Official Points,+/-,Tournaments Played,Dropping,Next Best,Country
352,Gabriel Debru,18,142,,22,,,France
353,Nino Serdarusic,27,142,-28,27,7,,Croatia
354,Frederico Ferreira Silva,29,141,,24,7,,Portugal
355,Benjamin Lock,31,141,+4,33,2,,
356,Gerard Campana Lee,19,140,+4,23,4,,
357,Gilbert Klier Junior,23,139,,16,,,Brazil
358,Jay Clarke,25,139,+4,19,,,
359,Elmer Moller,20,138,,22,4,,Denmark
360,Martin Landaluce,18,137,-1,27,,,Spain
361,Yan Bai,34,136,,21,,,China
362,Rio Noguchi,25,136,,26,,,Japan
363,Eric Vanshelboim,22,136,-2,26,19,4,
364,Tim Handel,27,136,,28,,,Germany
365,Arthur Weber,31,135,,24,2,,France
366,Kalin Ivanovski,19,135,-2,24,5,,
367,Altug Celikbilek,27,135,-1,25,20,,
368,Mohamed Safwat,33,135,-1,29,2,1,
369,Carlos Sanchez Jover,23,134,,26,,,Spain
370,Damien Wenger,24,134,+12,29,2,1,Switzerland
371,Orlando Luz,26,133,-1,22,,,Brazil
372,Mikalai Haliak,25,133,,24,2,,
373,Giovanni Oradini,26,133,,25,,,Italy
374,Karl Friberg,24,133,,25,14,1,
375,Robert Strombachs,24,131,-13,26,4,1,
376,Marko Topo,20,130,+4,23,,,Germany
377,Dominik Palan,23,129,,24,,,Czech Republic
378,James McCabe,20,128,-41,24,2,,Australia
379,Louis Wessels,25,127,,30,,,Germany
380,George Loffhagen,22,126,+3,16,,,
381,Mateus Alves,23,126,+4,19,25,,Brazil
382,Hernan Casanova,30,126,-10,24,8,,Argentina
383,Marat Sharipov,21,126,-3,26,15,1,Russia
384,Alexis Gautier,26,126,,29,,,France
385,Martin Krumich,21,125,+2,18,,,Czech Republic
386,Alberto Barroso Campos,27,125,,23,,,Spain
387,Daniel Merida,19,125,-2,26,,,Spain
388,Lorenzo Giustino,32,125,+1,28,7,,Italy
389,Yun seong Chung,25,124,,18,,,
390,Cem Ilkel,28,123,-44,22,11,,
391,Bogdan Bobrov,26,123,,26,4,1,Russia
392,Sandro Kopp,23,122,+12,26,,,
393,Akira Santillan,26,121,,24,16,1,Australia
394,Leo Borg,20,120,-2,25,,,
395,Remy Bertola,25,120,+2,27,2,1,Switzerland
396,James Trotter,24,119,,12,,,Japan
397,Jakub Nicod,19,119,+30,22,,,Czech Republic
398,Kyle Edmund,29,118,+3,21,10,,
399,Kamil Majchrzak,28,117,+17,7,,,Poland
400,Blake Ellis,25,117,,26,,,Australia
401,Oleksii Krutykh,24,117,-4,27,7,,
402,Blake Mott,27,116,+1,17,,,Australia
403,Naoki Nakagawa,27,115,-16,18,6,,Japan
404,Skander Mansouri,28,115,,26,7,,
